"Table B2 – CPI headline year-on-year rates3","","","","","","","","","","","","",""
"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Average"
"1961","1,6","1,6","1,7","1,7","2,0","1,8","1,9","2,0","2,2","2,2","2,4","2,0","1,9"
"1962","1,6","1,4","1,5","1,6","1,8","1,6","1,8","1,3","1,4","1,3","1,2","1,0","1,5"
"1963","1,9","1,8","1,6","1,1","0,4","0,7","0,7","1,6","1,5","1,5","1,1","1,5","1,2"
"1964","0,9","1,2","1,6","2,1","2,1","2,3","2,8","2,5","3,1","3,2","4,0","4,1","2,4"
"1965","4,0","4,0","3,9","3,9","4,1","4,0","4,2","3,8","2,8","3,2","2,9","2,9","3,6"
"1966","3,3","3,6","3,2","3,4","3,0","3,3","2,7","3,0","4,5","4,3","4,6","4,3","3,6"
"1967","4,0","3,9","3,9","3,8","4,2","4,0","3,9","4,3","2,9","2,3","1,7","1,8","3,4"
"1968","1,7","1,8","1,7","1,5","1,3","1,1","1,5","1,2","1,7","2,0","2,7","2,7","1,7"
"1969","2,8","2,5","2,8","2,9","3,4","3,2","2,6","2,0","2,0","3,9","3,5","3,7","3,0"
"1970","3,6","3,9","4,1","5,6","5,4","5,8","6,1","6,4","6,6","5,3","5,1","5,0","5,3"
"1971","5,4","5,2","5,4","5,2","5,7","6,1","6,3","6,3","6,3","6,5","6,8","6,9","6,0"
"1972","6,7","7,0","6,7","5,5","5,7","5,4","5,7","6,4","7,2","7,3","7,0","7,3","6,5"
"1973","8,3","8,9","9,9","10,2","9,9","10,0","9,8","9,3","8,9","9,3","10,2","10,0","9,5"
"1974","8,9","9,4","9,7","9,6","9,7","11,2","12,0","13,2","13,8","13,6","13,6","14,1","11,6"
